step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2583.0,[1211],[411],[767536.4961838988],[2406397.700969631],[0.0]
2588.0,[1213],[411],[768269.5918599936],[2408696.0980947446],[0.0]
2595.0,[1216],[412],[770400.4427820105],[2415376.8081164076],[0.0]
2600.0,[1219],[412],[772229.6125621183],[2421111.6577522475],[0.0]
2607.0,[1221],[414],[774507.6093765312],[2428253.7208635355],[0.0]
2612.0,[1225],[415],[776625.5639120904],[2434894.011417098],[0.0]
2619.0,[1228],[415],[778775.3431182416],[2441633.9760259963],[0.0]
2626.0,[1230],[417],[781568.7434828283],[2450391.9991778685],[0.0]
2633.0,[1234],[418],[783598.2682083461],[2456754.9410655447],[0.0]
2638.0,[1237],[418],[785869.0284443148],[2463874.23057886],[0.0]
2645.0,[1239],[421],[786431.4359807653],[2465637.4581056074],[0.0]
2650.0,[1243],[421],[788588.4830984821],[2472400.2027389994],[0.0]
2657.0,[1246],[422],[789315.5327472214],[2474679.6426091488],[0.0]
2664.0,[1248],[424],[790780.1830290369],[2479271.6963431393],[0.0]
2671.0,[1252],[425],[793200.3257556801],[2486859.43280196],[0.0]
2676.0,[1254],[425],[795454.5967182155],[2493927.107101662],[0.0]
2683.0,[1257],[428],[798606.4289464764],[2503808.8234412507],[0.0]
2688.0,[1259],[428],[800140.5793121075],[2508618.683705388],[0.0]
2695.0,[1264],[429],[805506.5422393287],[2525442.3303989884],[0.0]
2702.0,[1266],[430],[806748.5891077417],[2529336.453560567],[0.0]
2707.0,[1269],[431],[807480.609635308],[2531631.479576366],[0.0]
2714.0,[1273],[432],[808985.3052561642],[2536348.9934162353],[0.0]
2719.0,[1274],[432],[809444.4863623541],[2537788.583873485],[0.0]
2726.0,[1277],[433],[811762.2551673227],[2545055.341329805],[0.0]
2731.0,[1279],[433],[813004.9035011538],[2548951.3419249197],[0.0]
2738.0,[1283],[435],[814616.6568316583],[2554004.5266836933],[0.0]
2743.0,[1285],[435],[815669.5376035603],[2557305.547678539],[0.0]
2750.0,[1287],[437],[817677.2817562389],[2563600.273156008],[0.0]
2755.0,[1291],[437],[820964.331450432],[2573905.9676143755],[0.0]
2762.0,[1295],[440],[825112.1640788043],[2586910.3606326166],[0.0]
2767.0,[1296],[440],[825112.1640788043],[2586910.3606326166],[0.0]
2774.0,[1301],[442],[828113.8288122856],[2596321.2542968746],[0.0]
2781.0,[1304],[442],[829777.0305512323],[2601535.7286971267],[0.0]
2788.0,[1306],[444],[832118.6794007336],[2608877.3683307534],[0.0]
2795.0,[1310],[445],[834573.9434508883],[2616575.1313698143],[0.0]
2800.0,[1312],[445],[835788.0351532953],[2620381.5044122804],[0.0]
2807.0,[1315],[447],[838040.9857614225],[2627445.043956918],[0.0]
2812.0,[1317],[447],[841216.1766594182],[2637400.0807453794],[0.0]
2819.0,[1322],[448],[844016.6583607446],[2646180.2005227176],[0.0]
2826.0,[1324],[449],[844720.1190169937],[2648385.6841539824],[0.0]
2833.0,[1327],[451],[845453.3163834326],[2650684.4022002565],[0.0]
2840.0,[1331],[452],[848320.8394845525],[2659674.6293424848],[0.0]
2845.0,[1332],[453],[849496.333697547],[2663360.075929579],[0.0]
2852.0,[1336],[455],[851547.6672995242],[2669791.391314321],[0.0]
2857.0,[1339],[455],[852328.2593604329],[2672238.710184853],[0.0]
2864.0,[1343],[456],[854686.5733918404],[2679632.4979704325],[0.0]
2869.0,[1345],[456],[855401.525757426],[2681874.0065783123],[0.0]
2876.0,[1348],[458],[856860.4213629863],[2686447.929710278],[0.0]
2881.0,[1350],[458],[856860.4213629863],[2686447.929710278],[0.0]
2888.0,[1353],[461],[859761.0598556673],[2695542.076279792],[0.0]
2895.0,[1356],[462],[862113.9746859181],[2702919.023360565],[0.0]
2900.0,[1359],[463],[864621.7666433861],[2710781.46357211],[0.0]
2907.0,[1362],[465],[867007.5678405841],[2718261.500874017],[0.0]
2912.0,[1365],[465],[869084.1910111356],[2724772.1094964216],[0.0]
2919.0,[1367],[467],[870383.3082867535],[2728845.0754676815],[0.0]
2924.0,[1370],[467],[873365.8809518707],[2738196.1148631526],[0.0]
2931.0,[1374],[469],[874858.1730073362],[2742874.746659212],[0.0]
2936.0,[1375],[470],[875558.0832795335],[2745069.1018609023],[0.0]
2943.0,[1380],[470],[877402.6786071067],[2750852.3037620247],[0.0]
2950.0,[1383],[471],[879091.3737634479],[2756146.7057286142],[0.0]
2957.0,[1385],[473],[879782.7319668478],[2758314.234888228],[0.0]
2964.0,[1389],[474],[882747.9293228528],[2767610.797561796],[0.0]
2969.0,[1391],[475],[884413.5432756649],[2772832.841511313],[0.0]
2976.0,[1394],[478],[887344.5502376193],[2782022.205248949],[0.0]
2981.0,[1397],[478],[890534.4634804918],[2792023.307903608],[0.0]
2988.0,[1401],[479],[891101.2320981716],[2793800.2141584214],[0.0]
2995.0,[1403],[481],[893196.0706092753],[2800368.02186974],[0.0]
3002.0,[1407],[482],[893717.2190453636],[2802001.9007019354],[0.0]
3007.0,[1409],[483],[895242.5168637343],[2806784.0208326587],[0.0]
3014.0,[1411],[484],[897119.145875553],[2812667.7528012875],[0.0]
3019.0,[1414],[484],[901453.9226118921],[2826258.3679495594],[0.0]
3026.0,[1418],[485],[901878.907378513],[2827590.7409245833],[0.0]
3033.0,[1421],[486],[903261.8533015097],[2831926.624290717],[0.0]
3040.0,[1424],[488],[906449.8398180123],[2841921.6945653455],[0.0]
3047.0,[1428],[488],[909874.3379252763],[2852658.2995059523],[0.0]
3052.0,[1430],[488],[911389.9599958417],[2857410.0826892382],[0.0]
3059.0,[1432],[490],[913838.6195703313],[2865087.2277358286],[0.0]
3064.0,[1436],[490],[915037.5954194235],[2868846.215605206],[0.0]
3071.0,[1438],[491],[917644.571087591],[2877019.7127158903],[0.0]
3076.0,[1441],[491],[920140.6709968752],[2884845.5048368815],[0.0]
3083.0,[1445],[493],[921964.0843317475],[2890562.30388221],[0.0]
3088.0,[1447],[493],[923394.2938522015],[2895046.2878100304],[0.0]
3095.0,[1450],[493],[925384.0260305459],[2901284.5482175434],[0.0]
3100.0,[1452],[493],[927157.8956478813],[2906846.0136367623],[0.0]
3107.0,[1456],[496],[929317.8502345518],[2913617.9722383986],[0.0]
3112.0,[1459],[496],[930907.2166905158],[2918600.969211362],[0.0]
3119.0,[1461],[499],[933036.3798315565],[2925276.487105197],[0.0]
3126.0,[1465],[500],[936702.0669124994],[2936769.2291835784],[0.0]
3131.0,[1467],[500],[937994.0093544857],[2940819.785390935],[0.0]
3138.0,[1469],[502],[939361.3841447786],[2945106.73454176],[0.0]
